"Core.ID","year","earlywood","latewood","ring","Tag","diam.latewood","diam.earlywood","BA.latewood","BA.earlywood","bai.latewood","bai.earlywood"
"1427-N",1980,0.0846,0.0651,0.1497,"1427",50.6627,50.5976,2015.88866910655,2010.71128865426,5.17738045229453,6.71826192908543
"1427-N",1981,0.0621,0.0027,0.0648,"1427",50.7275,50.7248,2021.0488017675,2020.83366455225,0.215137215249115,4.94499544569976
"1427-N",1982,0.0391,0.0049,0.044,"1427",50.7715,50.7666,2024.55635540771,2024.16559100517,0.390764402548712,3.11678923766476
"1427-N",1983,0.0399,0.0173,0.0572,"1427",50.8287,50.8114,2029.12072152722,2027.73969802911,1.38102349810788,3.18334262139479
"1427-N",1984,0.0499,0.0032,0.0531,"1427",50.8818,50.8786,2033.36252156581,2033.10676978576,0.255751780052833,3.98604825854363
"1427-N",1985,0.0504,0.0033,0.0537,"1427",50.9355,50.9322,2037.65675593248,2037.39273380766,0.264022124815483,4.03021224185113
"1427-N",1986,0.0463,0.0269,0.0732,"1427",51.0087,50.9818,2043.51764477375,2041.36287000152,2.15477477222908,3.70611406903936
"1427-N",1987,0.0593,0.0286,0.0879,"1427",51.0966,51.068,2050.56663717044,2048.27177633919,2.29486083124129,4.75413156544619
"1427-N",1988,0.0721,0.0123,0.0844,"1427",51.181,51.1687,2057.34637431864,2056.35763554186,0.988738776773062,5.79099837142849
"1427-N",1989,0.067,0.0099,0.0769,"1427",51.2579,51.248,2063.53338872812,2062.73636006671,0.79702866141406,5.38998574806874
"1427-N",1990,0.0655,0.0524,0.1179,"1427",51.3758,51.3234,2073.03710959513,2068.81053801066,4.22657158446918,5.27714928253954
"1427-N",1991,0.0738,0.0259,0.0997,"1427",51.4755,51.4496,2081.0907980408,2078.99711496205,2.09368307874411,5.96000536692281
"1427-N",1992,0.0654,0.0965,0.1619,"1427",51.6374,51.5409,2094.20221810235,2086.38223953573,7.81997856661837,5.29144149493186
"1427-N",1993,0.1538,0.2672,0.421,"1427",52.0584,51.7912,2128.48950675947,2106.6957969782,21.7937097812746,12.4935788758494
"1427-N",1994,0.083,0.0403,0.1233,"1427",52.1817,52.1414,2138.58407567476,2135.28208827782,3.30198739693924,6.79258151834938
"1427-N",1995,0.0531,0.0482,0.1013,"1427",52.283,52.2348,2146.89537432532,2142.9387284759,3.9566458494246,4.35465280113795
"1427-N",1996,0.0593,0.0285,0.0878,"1427",52.3708,52.3423,2154.11208674836,2151.76820467029,2.34388207807433,4.87283034496886
"1427-N",1997,0.058,0.0563,0.1143,"1427",52.4851,52.4288,2163.52510680383,2158.88603272352,4.63907408030491,4.77394597515786
"1427-N",1998,0.0643,0.0554,0.1197,"1427",52.6048,52.5494,2173.40483531369,2168.82946479202,4.57537052166572,5.30435798819371
"1427-N",1999,0.0758,0.0296,0.1054,"1427",52.7102,52.6806,2182.12291279243,2179.67281006596,2.45010272646641,6.26797475227613
"1427-N",2000,0.058,0.0609,0.1189,"1427",52.8291,52.7682,2191.97857806915,2186.92778020744,5.05079786171473,4.80486741500999
"1427-N",2001,0.0517,0.033,0.0847,"1427",52.9138,52.8808,2199.01293673877,2196.27093754903,2.74199918973318,4.29235947987854
"1427-N",2002,0.0708,0.0274,0.0982,"1427",53.012,52.9846,2207.18258054461,2204.90154328653,2.28103725807887,5.88860654776408
"1427-N",2003,0.0658,0.0613,0.1271,"1427",53.1391,53.0778,2217.7790192633,2212.66521644676,5.11380281654237,5.48263590214856
"1427-N",2004,0.0708,0.0402,0.111,"1427",53.2501,53.2099,2227.05394419697,2223.69268196026,3.36126223670635,5.91366269696437
"1427-N",2005,0.0799,0.019,0.0989,"1427",53.349,53.33,2235.33412292186,2233.74219859907,1.5919243227886,6.68825440209821
"1427-N",2006,0.0415,0.051,0.0925,"1427",53.4415,53.3905,2243.09238120942,2238.81319272323,4.27918848619584,3.47906980137122
"1427-N",2007,0.0668,0.0153,0.0821,"1427",53.5236,53.5083,2249.98961806192,2248.70345939934,1.28615866257951,5.61107818991468
"1427-N",2008,0.0898,0.1001,0.1899,"1427",53.7135,53.6134,2265.98372174351,2257.54585729418,8.43786444932812,7.55623923226585
"1427-N",2009,0.0668,0.1133,0.1801,"1427",53.8936,53.7803,2281.20476855292,2271.62334067437,9.58142787855195,5.63961893085389
"1427-N",2010,0.0552,0.0642,0.1194,"1427",54.013,53.9488,2291.32387622066,2285.8801656568,5.44371056386035,4.67539710387973
"1427-N",2011,0.0609,0.0585,0.1194,"1427",54.1324,54.0739,2301.46537772632,2296.49375351297,4.97162421334997,5.16987729231187
"1427-N",2012,0.0621,0.0484,0.1105,"1427",54.2429,54.1945,2310.87089038065,2306.74883009616,4.12206028449418,5.28345236983614
"1427-N",2013,0.0575,0.0645,0.122,"1427",54.3649,54.3004,2321.27753511203,2315.77274861762,5.50478649440447,4.90185823697311
"1427-N",2014,0.0454,0.0551,0.1005,"1427",54.4654,54.4103,2329.8677844451,2325.15614075259,4.71164369250573,3.87860564056518
"1427-N",2015,0.0487,0.0762,0.1249,"1427",54.5903,54.5141,2340.56573754145,2334.0361294136,6.52960812784841,4.16834496850561
"1427-N",2016,0.0773,0.0626,0.1399,"1427",54.7302,54.6676,2352.5775683185,2347.19892428539,5.37864403310277,6.63318674394168
"1427-N",2017,0.0638,0.006,0.0698,"1427",54.8,54.794,2358.58210060907,2358.06565105116,0.516449557916076,5.48808273265968
"1433-N",1860,0.0375,0.1084,0.1459,"1433",38.4442000000001,38.3358,1160.78433139415,1154.24750017931,NA,NA
"1433-N",1861,0.0425,0.0913,0.1338,"1433",38.578,38.4867,1168.87830742766,1163.35224036582,5.5260670618452,2.56790897166161
"1433-N",1862,0.0399,0.0789,0.1188,"1433",38.6968,38.6179,1176.08845596409,1171.29742519913,4.7910307649679,2.41911777146447
"1433-N",1863,0.0211,0.0371,0.0582,"1433",38.755,38.7179,1179.62879114975,1177.37136472761,2.25742642214118,1.28290876351912
